gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.08964646464646465,0.001275098084468036,0.0
1.0,0.0,0.0,0.0,0.46478873239436624,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.31439393939393945,0.21586660512347106,0.0
1.0,0.0,0.0,0.0,0.014084507042253521,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27525252525252525,0.010310408492960998,1.0
1.0,0.0,0.0,0.0,0.619718309859155,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.16792929292929296,0.21024117239787676,0.0
0.0,0.0,0.0,0.0,0.014084507042253521,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.46022727272727276,0.015330025386568198,1.0
0.0,0.0,0.0,0.0,0.09859154929577466,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8042929292929294,0.09251096238172168,1.0
1.0,0.0,0.0,1.0,0.295774647887324,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.6786616161616162,0.22277867528271408,0.0
0.0,0.0,0.0,0.0,0.1267605633802817,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0883838383838384,0.032667897530579276,0.0
0.0,0.0,1.0,0.0,0.3802816901408451,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8655303030303031,0.3493249480729287,1.0
1.0,0.0,0.0,1.0,0.8591549295774649,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.30429292929292934,0.4003173321024694,0.0
1.0,0.0,1.0,1.0,0.16901408450704225,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.23674242424242425,0.06561850911608587,0.0
1.0,0.0,0.0,0.0,0.2112676056338028,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.3333333333333333,0.005050505050505051,0.035541195476575124,0.0
1.0,0.0,1.0,0.0,0.8028169014084507,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.8131313131313131,0.6533925686591276,0.0
1.0,0.0,0.0,0.0,0.676056338028169,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8516414141414143,0.578986845141934,1.0
